2021-10-12 00:00:53.546 DEBUG 22196 --- [http-nio-8080-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:25.306 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:25.307 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:26.081 DEBUG 22196 --- [http-nio-8080-exec-10] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:26.082 DEBUG 22196 --- [http-nio-8080-exec-10] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:36.906 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:36.907 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:41.923 DEBUG 22196 --- [http-nio-8080-exec-1] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:41.924 DEBUG 22196 --- [http-nio-8080-exec-1] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:55.747 DEBUG 22196 --- [http-nio-8080-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:47:55.749 DEBUG 22196 --- [http-nio-8080-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:48:00.638 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:48:00.639 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:48:30.873 DEBUG 22196 --- [http-nio-8080-exec-5] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:48:30.876 DEBUG 22196 --- [http-nio-8080-exec-5] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:24.559 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:24.560 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:29.562 DEBUG 22196 --- [http-nio-8080-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:29.563 DEBUG 22196 --- [http-nio-8080-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:41.689 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:41.690 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:50.128 DEBUG 22196 --- [http-nio-8080-exec-5] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:51:50.129 DEBUG 22196 --- [http-nio-8080-exec-5] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:54:38.217 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:54:38.218 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:54:46.508 DEBUG 22196 --- [http-nio-8080-exec-3] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:54:46.510 DEBUG 22196 --- [http-nio-8080-exec-3] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:55:57.562 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:55:57.562 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:56:06.488 DEBUG 22196 --- [http-nio-8080-exec-5] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:56:06.490 DEBUG 22196 --- [http-nio-8080-exec-5] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:56:13.473 DEBUG 22196 --- [http-nio-8080-exec-9] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:56:13.474 DEBUG 22196 --- [http-nio-8080-exec-9] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:56:24.122 DEBUG 22196 --- [http-nio-8080-exec-4] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:56:24.123 DEBUG 22196 --- [http-nio-8080-exec-4] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:07.568 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:07.568 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:16.911 DEBUG 22196 --- [http-nio-8080-exec-3] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:16.913 DEBUG 22196 --- [http-nio-8080-exec-3] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:21.340 DEBUG 22196 --- [http-nio-8080-exec-6] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:21.341 DEBUG 22196 --- [http-nio-8080-exec-6] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:29.976 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 00:58:29.978 DEBUG 22196 --- [http-nio-8080-exec-8] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:01:18.560 DEBUG 22196 --- [http-nio-8080-exec-9] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:01:18.561 DEBUG 22196 --- [http-nio-8080-exec-9] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:01:42.552 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:01:42.553 DEBUG 22196 --- [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:02:53.935 DEBUG 22196 --- [http-nio-8080-exec-1] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:02:53.936 DEBUG 22196 --- [http-nio-8080-exec-1] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:03:03.897 DEBUG 22196 --- [http-nio-8080-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /socket, client=0:0:0:0:0:0:0:1]
2021-10-12 01:03:03.898 DEBUG 22196 --- [http-nio-8080-exec-7] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /socket, client=0:0:0:0:0:0:0:1]
